"district_id","district_name",
3,"nicobar",
1,"north and middle andaman",
2,"south andaman",
9,"anantapur",
10,"chittoor",
11,"east godavari",
5,"guntur",
4,"krishna",
7,"kurnool",
12,"prakasam",
13,"sri potti sriramulu nellore",
14,"srikakulam",
8,"visakhapatnam",
15,"vizianagaram",
16,"west godavari",
6,"ysr district, kadapa (cuddapah)",
22,"anjaw",
20,"changlang",
25,"dibang valley",
23,"east kameng",
42,"east siang",
17,"itanagar capital complex",
24,"kamle",
27,"kra daadi",
21,"kurung kumey",
33,"lepa rada",
29,"lohit",
40,"longding",
31,"lower dibang valley",
18,"lower siang",
32,"lower subansiri",
36,"namsai",
19,"pakke kessang",
39,"papum pare",
35,"shi yomi",
37,"siang",
30,"tawang",
26,"tirap",
34,"upper siang",
41,"upper subansiri",
28,"west kameng",
38,"west siang",
46,"baksa",
47,"barpeta",
765,"biswanath",
57,"bongaigaon",
66,"cachar",
766,"charaideo",
58,"chirang",
48,"darrang",
62,"dhemaji",
59,"dhubri",
43,"dibrugarh",
67,"dima hasao",
60,"goalpara",
53,"golaghat",
68,"hailakandi",
764,"hojai",
54,"jorhat",
49,"kamrup metropolitan",
50,"kamrup rural",
51,"karbi-anglong",
69,"karimganj",
61,"kokrajhar",
63,"lakhimpur",
767,"majuli",
55,"morigaon",
56,"nagaon",
52,"nalbari",
44,"sivasagar",
64,"sonitpur",
768,"south salmara mankachar",
45,"tinsukia",
65,"udalguri",
769,"west karbi anglong",
74,"araria",
78,"arwal",
77,"aurangabad",
83,"banka",
98,"begusarai",
82,"bhagalpur",
99,"bhojpur",
100,"buxar",
94,"darbhanga",
105,"east champaran",
79,"gaya",
104,"gopalganj",
107,"jamui",
91,"jehanabad",
80,"kaimur",
75,"katihar",
101,"khagaria",
76,"kishanganj",
84,"lakhisarai",
70,"madhepura",
95,"madhubani",
85,"munger",
86,"muzaffarpur",
90,"nalanda",
92,"nawada",
97,"patna",
73,"purnia",
81,"rohtas",
71,"saharsa",
96,"samastipur",
102,"saran",
93,"sheikhpura",
87,"sheohar",
88,"sitamarhi",
103,"siwan",
72,"supaul",
89,"vaishali",
106,"west champaran",
108,"chandigarh",
110,"balod",
111,"baloda bazar",
112,"balrampur",
113,"bastar",
114,"bemetara",
115,"bijapur",
219,"bilaspur",
117,"dantewada",
118,"dhamtari",
119,"durg",
120,"gariaband",
136,"gaurela pendra marwahi ",
121,"janjgir-champa",
122,"jashpur",
123,"kanker",
135,"kawardha",
124,"kondagaon",
125,"korba",
126,"koriya",
127,"mahasamund",
128,"mungeli",
129,"narayanpur",
130,"raigarh",
109,"raipur",
131,"rajnandgaon",
132,"sukma",
133,"surajpur",
